demonicref,demonicsystemid,demonicid,caseref,demonic_type,demonic_text,createdby,createdate,lastupdatedby,lastupdatedon
DP/JO/228,JO,228,C/EGD/400,Devil's Mark,shoulder,jhm,2001-07-16T09:18:16,jhm,2001-07-16T09:23:36
DP/JO/229,JO,229,C/EGD/408,Anti-baptism,,jhm,2001-07-16T15:52:12,jhm,2001-07-16T15:52:14
DP/JO/27,JO,27,C/EGD/1324,Servant,,jhm,2001-06-13T12:37:08,jhm,2001-06-13T12:37:29
DP/JO/272,JO,272,C/JO/2834,Anti-baptism,,jhm,2001-07-25T11:23:38,jhm,2001-07-25T11:23:38
DP/JO/273,JO,273,C/JO/2834,Sex,,jhm,2001-07-25T11:23:42,jhm,2001-07-25T11:23:50
DP/JO/274,JO,274,C/JO/2834,Paction,,jhm,2001-07-25T11:24:19,jhm,2001-07-25T11:24:21
DP/JO/275,JO,275,C/EGD/1817,Paction,,jhm,2001-07-31T13:31:19,jhm,2001-07-31T13:31:22
DP/JO/276,JO,276,C/EGD/1817,Anti-baptism,,jhm,2001-07-31T13:34:08,jhm,2001-07-31T13:34:10
DP/JO/277,JO,277,C/EGD/1817,Body and soul,,jhm,2001-07-31T13:34:32,jhm,2001-07-31T13:34:33
DP/JO/278,JO,278,C/EGD/1817,Head and foot,,jhm,2001-07-31T13:34:49,jhm,2001-07-31T13:34:50
DP/JO/279,JO,279,C/EGD/1817,Devil's Mark,on neck,jhm,2001-07-31T13:35:08,jhm,2001-07-31T13:35:18
DP/JO/28,JO,28,C/EGD/1324,Devil's Mark,nip on left shoulder,jhm,2001-06-13T12:37:54,jhm,2001-06-13T12:38:42
DP/JO/281,JO,281,C/EGD/1862,Anti-baptism,,jhm,2001-07-31T14:44:11,jhm,2001-07-31T14:44:12
DP/JO/282,JO,282,C/EGD/1862,Sex,,jhm,2001-07-31T14:44:15,jhm,2001-07-31T14:44:17
DP/JO/283,JO,283,C/EGD/1862,Devil's Mark,right side of neck,jhm,2001-07-31T14:45:20,jhm,2001-07-31T14:45:36
DP/JO/284,JO,284,C/EGD/1862,Servant,,jhm,2001-07-31T14:45:37,jhm,2001-07-31T14:45:37
DP/JO/285,JO,285,C/EGD/1859,Servant,,jhm,2001-07-31T15:25:09,jhm,2001-07-31T15:25:10
DP/JO/286,JO,286,C/EGD/1859,Head and foot,,jhm,2001-07-31T15:25:12,jhm,2001-07-31T15:25:13
DP/JO/287,JO,287,C/EGD/1859,Anti-baptism,,jhm,2001-07-31T15:25:15,jhm,2001-07-31T15:25:15
DP/JO/288,JO,288,C/EGD/1859,Want nothing,,jhm,2001-07-31T15:25:38,jhm,2001-07-31T15:25:43
DP/JO/289,JO,289,C/EGD/1859,New name,Willie,jhm,2001-07-31T15:25:55,jhm,2001-07-31T15:26:54
DP/JO/29,JO,29,C/EGD/1324,Anti-baptism,,jhm,2001-06-13T12:40:24,jhm,2001-06-13T12:40:33
DP/JO/290,JO,290,C/EGD/1859,Devil's Mark,on right hand,jhm,2001-07-31T15:25:58,jhm,2001-07-31T15:27:39
DP/JO/291,JO,291,C/EGD/1860,Anti-baptism,,jhm,2001-07-31T15:44:12,jhm,2001-07-31T15:44:12
DP/JO/292,JO,292,C/EGD/1860,Body and soul,,jhm,2001-07-31T15:44:27,jhm,2001-07-31T15:44:28
DP/JO/293,JO,293,C/EGD/2444,Anti-baptism,,jhm,2001-08-02T15:49:38,jhm,2001-08-02T15:49:39
DP/JO/294,JO,294,C/EGD/2444,Paction,,jhm,2001-08-02T15:49:44,jhm,2001-08-02T15:49:45
DP/JO/295,JO,295,C/EGD/1770,Devil's Mark,shoulder,jhm,2001-08-16T10:16:45,jhm,2001-08-16T10:17:01
DP/JO/296,JO,296,C/EGD/1770,Anti-baptism,,jhm,2001-08-16T10:22:14,jhm,2001-08-16T10:22:18
DP/JO/297,JO,297,C/EGD/1757,Devil's Mark,,jhm,2001-08-17T12:06:25,jhm,2001-08-17T12:06:28
DP/JO/298,JO,298,C/EGD/1758,Devil's Mark,,jhm,2001-08-17T12:22:23,jhm,2001-08-17T12:22:24
DP/JO/299,JO,299,C/EGD/1759,Devil's Mark,,jhm,2001-08-17T12:34:20,jhm,2001-08-17T12:34:22
DP/JO/30,JO,30,C/EGD/1324,New name,Lisbie,jhm,2001-06-13T12:40:35,jhm,2001-06-13T12:41:13
DP/JO/300,JO,300,C/EGD/1756,Devil's Mark,,jhm,2001-08-17T12:41:09,jhm,2001-08-17T12:41:10
DP/JO/301,JO,301,C/JO/2883,Devil's Mark,nip on right cheek below ear,jhm,2001-09-07T12:57:45,jhm,2001-09-07T12:58:02
DP/JO/302,JO,302,C/JO/2883,Head and foot,,jhm,2001-09-07T12:58:07,jhm,2001-09-07T12:58:07
DP/JO/303,JO,303,C/JO/2883,Body and soul,,jhm,2001-09-07T12:58:31,jhm,2001-09-07T12:58:33
DP/JO/304,JO,304,C/JO/2882,Anti-baptism,,jhm,2001-09-07T13:17:27,jhm,2001-09-07T13:17:35
DP/JO/305,JO,305,C/JO/2882,Devil's Mark,on mouth,jhm,2001-09-07T13:17:57,jhm,2001-09-07T13:18:12
DP/JO/31,JO,31,C/EGD/1324,Sex,with a rough (ruch) man all black,jhm,2001-06-13T12:42:12,jhm,2001-06-13T12:44:59
DP/JO/32,JO,32,C/EGD/1323,Sex,,jhm,2001-06-13T13:16:01,jhm,2001-06-13T13:16:03
