meetingplaceref,meetingplacesystemid,meetingplaceid,caseref,meetingplace_place,inversion,location,createdby,createdate,lastupdatedby,lastupdatedon
MP/LA/663,LA,663,C/EGD/1224,Hilltop,false,Borthwick Hill,LEM,2002-11-18T15:51:36,LEM,2002-11-18T15:51:48
MP/LA/664,LA,664,C/EGD/1224,Hilltop,false,Duns Law,LEM,2002-11-18T15:51:48,LEM,2002-11-18T15:51:56
MP/LA/665,LA,665,C/EGD/1225,Hilltop,false,Coldingham Law,LEM,2002-11-18T16:05:59,LEM,2002-11-18T16:06:08
MP/LA/666,LA,666,C/EGD/1225,Hilltop,false,Duns Law,LEM,2002-11-18T16:06:22,LEM,2002-11-18T16:06:26
MP/LA/667,LA,667,C/EGD/1225,Hilltop,false,Borthwick Hill,LEM,2002-11-18T16:06:26,LEM,2002-11-18T16:06:46
MP/LA/668,LA,668,C/EGD/1226,Hilltop,false,Duns Law,LEM,2002-11-18T16:18:29,LEM,2002-11-18T16:18:36
MP/LA/669,LA,669,C/EGD/1226,Hilltop,false,Borthwick Hills,LEM,2002-11-18T16:18:42,LEM,2002-11-18T16:18:54
MP/LA/67,LA,67,C/EGD/372,Moor,false,Burrow Mure,LEM,2001-06-27T16:11:04,LEM,2001-06-27T16:11:26
MP/LA/68,LA,68,C/EGD/371,Road,false,between Sheriffhall burn and Dalkeith,LEM,2001-06-27T16:18:01,jhm,2002-11-05T14:21:56
MP/LA/69,LA,69,C/EGD/374,Yard,false,Sheriffhall,LEM,2001-06-27T16:21:48,LEM,2001-06-27T16:22:13
MP/LA/7,LA,7,C/EGD/162,House,false,suspect's in Nyddrie Myln,LEM,2001-05-18T13:00:21,LEM,2001-05-18T13:00:59
MP/LA/70,LA,70,C/EGD/374,House,false,"fellow accused witch's, at 11pm",LEM,2001-06-27T16:23:02,jhm,2002-11-05T14:44:36
MP/LA/71,LA,71,C/EGD/373,Bank Head,false,Wolmet bank,LEM,2001-06-28T09:20:53,LEM,2001-06-28T09:22:20
MP/LA/72,LA,72,C/EGD/370,Bank Head,false,Wolmet Bank,LEM,2001-06-28T09:31:25,LEM,2001-07-09T10:25:51
MP/LA/73,LA,73,C/EGD/370,Yard,false,Sheriffhall,LEM,2001-06-28T09:31:35,LEM,2001-06-28T09:31:57
MP/LA/78,LA,78,C/EGD/1390,Yard,false,Sheriffhall,LEM,2001-06-28T09:57:01,LEM,2001-06-28T09:57:05
MP/LA/79,LA,79,C/EGD/1390,House,false,her house,LEM,2001-06-28T09:57:22,LEM,2001-06-28T09:57:40
MP/LA/8,LA,8,C/EGD/162,Salt pans,false,Salt Coitmure,LEM,2001-05-18T13:01:08,LEM,2001-05-18T13:01:38
MP/LA/9,LA,9,C/EGD/166,House,false,Oswald's in Nyddrie Mylne,LEM,2001-05-18T15:13:52,LEM,2001-05-18T15:15:22
MP/LA/96,LA,96,C/EGD/380,House,false,her own house,LEM,2001-06-29T11:06:53,LEM,2001-06-29T11:06:58
MP/LA/97,LA,97,C/EGD/380,Dam,false,Newtown Deimhead,LEM,2001-06-29T11:09:00,LEM,2001-06-29T11:09:19
MP/LA/98,LA,98,C/EGD/380,Road,false,on the way to the Mill,LEM,2001-06-29T11:09:26,LEM,2001-06-29T11:09:33
MP/LA/99,LA,99,C/EGD/365,Dam,false,Newtown Deinhead,LEM,2001-06-29T11:54:36,LEM,2001-06-29T11:54:43
