ordealref,ordealsystemid,ordealid,trialref,ordealexists,ordealdate,ordealdate_as_date,ordealtype,createdby,createdate,lastupdatedby,lastupdatedon
OD/JO/93,JO,93,T/JO/2105,true,,,Searching,jhm,2002-09-09T13:46:43,jhm,2002-09-09T13:46:44
OD/JO/94,JO,94,T/JO/2107,true,,,Searching,jhm,2002-09-09T13:48:38,jhm,2002-09-09T13:48:46
OD/JO/95,JO,95,T/JO/2106,true,,,Searching,jhm,2002-09-09T13:48:49,jhm,2002-09-09T13:53:32
OD/JO/96,JO,96,T/JO/831,true,1/1662,1962-01-01T00:00:00,Pricking,jhm,2002-10-08T08:51:12,jhm,2002-10-08T08:51:33
OD/JO/97,JO,97,T/JO/833,true,1/1662,1962-01-01T00:00:00,Pricking,jhm,2002-10-08T08:56:02,jhm,2002-10-08T08:56:08
OD/JO/98,JO,98,T/JO/834,true,1/1662,1962-01-01T00:00:00,Pricking,jhm,2002-10-08T09:07:57,jhm,2002-10-08T09:08:02
OD/JO/99,JO,99,T/JO/832,true,1/1662,1962-01-01T00:00:00,Pricking,jhm,2002-10-08T09:16:47,jhm,2002-10-08T09:16:54
OD/LA/1,LA,1,T/LA/10,true,,,Pricking,LEM,2001-05-18T12:47:27,LEM,2001-05-18T12:47:35
OD/LA/106,LA,106,T/JO/627,true,7/1677,1977-07-01T00:00:00,Pricking,LEM,2002-10-09T16:22:42,LEM,2002-10-09T16:22:50
OD/LA/107,LA,107,T/JO/1117,true,2/12/1649,2049-12-02T00:00:00,Pricking,LEM,2002-10-09T16:23:49,LEM,2002-10-09T16:23:58
OD/LA/108,LA,108,T/JO/1118,true,1/12/1649,2049-12-01T00:00:00,Pricking,LEM,2002-10-09T16:25:06,LEM,2002-10-09T16:25:12
OD/LA/109,LA,109,T/JO/1119,true,2/12/1649,2049-12-02T00:00:00,Pricking,LEM,2002-10-09T16:25:49,LEM,2002-10-09T16:25:54
OD/LA/110,LA,110,T/JO/1120,true,2/12/1649,2049-12-02T00:00:00,Pricking,LEM,2002-10-09T16:26:16,LEM,2002-10-09T16:26:22
OD/LA/111,LA,111,T/JO/1121,true,2/12/1649,2049-12-02T00:00:00,Pricking,LEM,2002-10-09T16:27:13,LEM,2002-10-09T16:27:22
OD/LA/112,LA,112,T/JO/1122,true,2/12/1649,2049-12-02T00:00:00,Pricking,LEM,2002-10-09T16:27:43,LEM,2002-10-09T16:27:48
OD/LA/113,LA,113,T/JO/1123,true,2/12/1649,2049-12-02T00:00:00,Pricking,LEM,2002-10-09T16:28:12,LEM,2002-10-09T16:28:18
OD/LA/114,LA,114,T/JO/1208,true,4/1650,1950-04-01T00:00:00,Pricking,LEM,2002-10-09T16:28:35,LEM,2002-10-09T16:28:41
OD/LA/115,LA,115,T/JO/628,true,7/1677,1977-07-01T00:00:00,Pricking,LEM,2002-10-09T16:29:10,LEM,2002-10-09T16:29:16
OD/LA/116,LA,116,T/JO/1305,true,11/1597,1997-11-01T00:00:00,Pricking,LEM,2002-10-09T16:29:33,LEM,2002-10-09T16:29:39
OD/LA/117,LA,117,T/JO/629,true,7/1677,1977-07-01T00:00:00,Pricking,LEM,2002-10-09T16:29:58,LEM,2002-10-09T16:30:03
OD/LA/118,LA,118,T/JO/788,true,4/1650,1950-04-01T00:00:00,Pricking,LEM,2002-10-09T16:30:22,LEM,2002-10-09T16:30:28
OD/LA/119,LA,119,T/JO/789,true,4/1650,1950-04-01T00:00:00,Pricking,LEM,2002-10-09T16:30:49,LEM,2002-10-09T16:30:54
OD/LA/120,LA,120,T/JO/867,true,1661,1961-06-01T00:00:00,Pricking,LEM,2002-10-09T16:31:31,LEM,2002-10-09T16:31:36
OD/LA/121,LA,121,T/JO/868,true,12/1661,1961-12-01T00:00:00,Pricking,LEM,2002-10-09T16:31:53,LEM,2002-10-09T16:31:57
OD/LA/122,LA,122,T/JO/574,true,11/10/1649,2049-10-11T00:00:00,Pricking,LEM,2002-10-09T16:35:22,LEM,2002-10-09T16:35:30
OD/LA/123,LA,123,T/JO/598,true,7/1678,1978-07-01T00:00:00,Pricking,LEM,2002-10-09T16:35:52,LEM,2002-10-09T16:36:03
OD/LA/124,LA,124,T/JO/626,true,7/1677,1977-07-01T00:00:00,Pricking,LEM,2002-10-09T16:37:03,LEM,2002-10-09T16:37:08
OD/LA/125,LA,125,T/JO/1074,true,8/1661,1961-08-01T00:00:00,Pricking,LEM,2002-10-09T16:37:50,LEM,2002-10-09T16:37:56
OD/LA/126,LA,126,T/JO/1113,true,12/1649,2049-12-01T00:00:00,Pricking,LEM,2002-10-09T16:38:13,LEM,2002-10-09T16:38:19
OD/LA/127,LA,127,T/JO/1114,true,2/12/1649,2049-12-02T00:00:00,Pricking,LEM,2002-10-09T16:38:34,LEM,2002-10-09T16:38:40
OD/LA/128,LA,128,T/JO/1115,true,2/12/1649,2049-12-02T00:00:00,Pricking,LEM,2002-10-09T16:38:53,LEM,2002-10-09T16:38:58
OD/LA/129,LA,129,T/JO/1116,true,2/12/1649,2049-12-02T00:00:00,Pricking,LEM,2002-10-09T16:39:12,LEM,2002-10-09T16:39:18
OD/LA/13,LA,13,T/LA/288,true,1650,1950-06-01T00:00:00,Pricking,LEM,2001-07-16T10:54:59,LEM,2001-07-16T10:55:07
OD/LA/130,LA,130,T/JO/1699,true,,,Pricking,LEM,2002-10-09T16:39:32,LEM,2002-10-09T16:39:35
OD/LA/131,LA,131,T/LA/813,true,1632,2032-06-01T00:00:00,Pricking,LEM,2002-10-09T16:39:52,LEM,2002-10-09T16:39:57
OD/LA/14,LA,14,T/LA/288,true,1661,1961-06-01T00:00:00,Pricking,LEM,2001-07-16T10:55:07,LEM,2001-07-16T10:55:14
OD/LA/15,LA,15,T/LA/411,true,11/7/1661,1961-07-11T00:00:00,Pricking,LEM,2001-07-16T15:38:36,LEM,2001-07-16T15:40:36
OD/LA/16,LA,16,T/LA/292,true,20/7/1661,1961-07-20T00:00:00,Pricking,LEM,2001-07-16T15:57:53,LEM,2001-07-16T15:58:01
OD/LA/17,LA,17,T/LA/293,true,11/7/1661,1961-07-11T00:00:00,Pricking,LEM,2001-07-16T16:23:34,LEM,2001-07-16T16:23:45
OD/LA/18,LA,18,T/LA/297,true,,,Pricking,LEM,2001-07-17T10:46:25,LEM,2001-07-17T10:46:30
OD/LA/19,LA,19,T/LA/413,true,11/7/1661,1961-07-11T00:00:00,Pricking,LEM,2001-07-17T10:59:45,LEM,2001-07-17T10:59:56
OD/LA/2,LA,2,T/LA/37,true,,,Pricking,LEM,2001-05-22T12:19:52,LEM,2001-05-22T12:20:26
OD/LA/20,LA,20,T/LA/298,true,5/7/1661,1961-07-05T00:00:00,Pricking,LEM,2001-07-17T12:31:04,LEM,2001-07-17T12:31:25
OD/LA/21,LA,21,T/LA/299,true,18/7/1661,1961-07-18T00:00:00,Pricking,LEM,2001-07-17T13:05:11,LEM,2001-07-17T13:05:52
OD/LA/22,LA,22,T/LA/410,true,,,Pricking,LEM,2001-07-17T13:14:17,LEM,2001-07-17T13:14:22
OD/LA/23,LA,23,T/LA/414,true,16/7/1661,1961-07-16T00:00:00,Pricking,LEM,2001-07-17T13:26:53,LEM,2001-07-17T13:27:12
OD/LA/26,LA,26,T/LA/1075,true,,,Searching,LEM,2001-10-22T13:23:50,LEM,2001-10-22T13:24:02
OD/LA/27,LA,27,T/LA/1161,true,,,Bierricht (corpse bleeds),LEM,2001-12-03T12:17:13,LEM,2001-12-03T12:17:22
OD/LA/28,LA,28,T/LA/1171,true,,,Pricking,LEM,2002-01-09T10:04:46,LEM,2002-01-09T10:04:52
OD/LA/29,LA,29,T/LA/1172,true,,,Pricking,LEM,2002-01-09T10:05:01,LEM,2002-01-09T10:05:03
OD/LA/30,LA,30,T/LA/1169,true,,,Pricking,LEM,2002-01-09T10:05:23,LEM,2002-01-09T10:05:26
OD/LA/31,LA,31,T/LA/1170,true,,,Pricking,LEM,2002-01-09T10:05:32,LEM,2002-01-09T10:05:34
OD/LA/32,LA,32,T/LA/302,true,18/6/1661,1961-06-18T00:00:00,Pricking,LEM,2002-01-29T15:39:09,LEM,2002-01-29T15:39:44
OD/LA/33,LA,33,T/LA/1189,true,,,Pricking,LEM,2002-01-30T13:25:49,LEM,2002-01-30T13:25:53
OD/LA/34,LA,34,T/LA/1191,true,,,Pricking,LEM,2002-01-30T13:43:08,LEM,2002-01-30T13:43:12
OD/LA/35,LA,35,T/JO/1131,true,,,Pricking,LEM,2002-01-30T15:05:14,LEM,2002-01-30T15:05:25
OD/LA/36,LA,36,T/JO/1133,true,,,Pricking,LEM,2002-01-30T15:15:41,LEM,2002-01-30T15:15:46
OD/LA/37,LA,37,T/LA/1190,true,,,Pricking,LEM,2002-01-30T15:20:39,LEM,2002-01-30T15:20:41
OD/LA/38,LA,38,T/LA/1199,true,,,Pricking,LEM,2002-01-30T15:32:52,LEM,2002-01-30T15:33:04
OD/LA/39,LA,39,T/LA/1201,true,,,Pricking,LEM,2002-01-30T16:10:43,LEM,2002-01-30T16:10:45
OD/LA/40,LA,40,T/LA/1211,true,,,Pricking,LEM,2002-01-31T14:58:02,LEM,2002-01-31T14:58:05
OD/LA/41,LA,41,T/LA/1214,true,,,Pricking,LEM,2002-01-31T21:05:13,LEM,2002-01-31T21:05:16
OD/LA/42,LA,42,T/LA/1215,true,,,Pricking,LEM,2002-01-31T21:20:23,LEM,2002-01-31T21:20:26
OD/LA/43,LA,43,T/LA/1226,true,,,Pricking,LEM,2002-02-18T14:43:42,LEM,2002-02-18T14:44:04
OD/LA/44,LA,44,T/LA/1237,true,,,Ducking,LEM,2002-02-18T15:09:33,LEM,2002-02-18T15:09:44
OD/LA/45,LA,45,T/LA/1232,true,,,Pricking,LEM,2002-02-18T15:41:56,LEM,2002-02-18T15:42:08
OD/LA/46,LA,46,T/LA/1238,true,,,Pricking,LEM,2002-02-18T17:12:43,LEM,2002-02-18T17:12:46
OD/LA/47,LA,47,T/LA/1246,true,,,Pricking,LEM,2002-02-18T18:45:24,LEM,2002-02-18T18:45:27
