maliceref,malicesystemid,maliceid,caseref,causeofmalice,createdby,createdate,lastupdatedby,lastupdatedon
MA/LA/19,LA,19,C/EGD/385,Revenge,LEM,2001-06-29T10:29:31,LEM,2001-06-29T10:30:10
MA/LA/2,LA,2,C/EGD/160,Failed business interaction,LEM,2001-05-17T10:56:52,LEM,2001-05-17T10:57:06
MA/LA/20,LA,20,C/EGD/401,Revenge for being called a witch,LEM,2001-07-02T15:00:52,LEM,2001-07-02T15:02:41
MA/LA/21,LA,21,C/EGD/401,Failed business interaction,LEM,2001-07-02T15:12:54,LEM,2001-07-02T15:17:45
MA/LA/22,LA,22,C/EGD/400,Failed business interaction,LEM,2001-07-02T15:53:54,LEM,2001-07-02T15:54:46
MA/LA/23,LA,23,C/EGD/409,Revenge for being called a witch,LEM,2001-07-04T12:57:23,LEM,2001-07-04T12:57:25
MA/LA/24,LA,24,C/EGD/409,Failed business interaction,LEM,2001-07-04T12:57:27,LEM,2001-07-04T12:57:29
MA/LA/25,LA,25,C/EGD/409,Taunting,LEM,2001-07-04T13:47:05,LEM,2001-07-04T13:47:09
MA/LA/26,LA,26,C/EGD/409,Physical insult,LEM,2001-07-04T13:47:12,LEM,2001-07-04T13:50:05
MA/LA/29,LA,29,C/EGD/383,Social slight,LEM,2001-07-16T10:58:02,LEM,2001-07-16T10:58:03
MA/LA/3,LA,3,C/EGD/162,Failed business interaction,LEM,2001-05-18T13:06:35,LEM,2001-05-18T13:06:37
MA/LA/30,LA,30,C/EGD/383,Revenge for being called a witch,LEM,2001-07-16T10:58:13,LEM,2001-07-16T10:58:15
MA/LA/31,LA,31,C/EGD/383,Failed business interaction,LEM,2001-07-16T10:58:22,LEM,2001-07-16T10:58:48
MA/LA/32,LA,32,C/EGD/365,Revenge,LEM,2001-07-17T13:16:34,LEM,2001-07-17T13:16:36
MA/LA/4,LA,4,C/EGD/162,Verbal Insult,LEM,2001-05-18T13:06:40,LEM,2001-05-18T13:06:43
MA/LA/40,LA,40,C/EGD/609,Revenge,LEM,2001-09-07T10:52:07,LEM,2001-09-07T10:52:10
MA/LA/41,LA,41,C/EGD/608,Jealousy of Neighbours,LEM,2001-09-07T12:03:45,LEM,2001-09-07T12:03:52
MA/LA/42,LA,42,C/EGD/607,Verbal Insult,LEM,2001-09-07T12:37:49,LEM,2001-09-07T12:38:12
