imprisonref,imprisonsystemid,imprisonid,trialref,centraltrialimprison,imprisondate,imprisondate_as_date,prison,location,moving,fate_in_prison,createdby,createdate,lastupdatedby,lastupdatedon
IM/JO/15,JO,15,T/JO/86,false,1/4/1630,2030-04-01T00:00:00,Tolbooth,Haddington,false,,jhm,2001-06-12T09:44:21,jhm,2001-06-12T09:44:44
IM/JO/150,JO,150,T/JO/519,false,12/1643,2043-12-01T00:00:00,Tolbooth,Queensferry,false,,jhm,2001-07-24T13:08:29,jhm,2001-07-24T13:08:41
IM/JO/151,JO,151,T/JO/520,false,12/1643,2043-12-01T00:00:00,Tolbooth,Queensferry,false,,jhm,2001-07-24T13:12:57,jhm,2001-07-24T13:13:11
IM/JO/152,JO,152,T/JO/521,false,12/1643,2043-12-01T00:00:00,Tolbooth,Queensferry,false,,jhm,2001-07-24T13:16:13,jhm,2001-07-24T13:16:21
IM/JO/153,JO,153,T/JO/522,false,12/1643,2043-12-01T00:00:00,Tolbooth,Queensferry,false,,jhm,2001-07-24T13:21:13,jhm,2001-07-24T13:21:22
IM/JO/154,JO,154,T/JO/523,false,3/1644,2044-03-01T00:00:00,Tolbooth,Queensferry,false,,jhm,2001-07-24T14:34:40,jhm,2001-07-24T14:34:53
IM/JO/155,JO,155,T/JO/529,false,,,,Falkirk,false,,jhm,2001-07-24T15:31:02,jhm,2002-10-11T16:53:10
IM/JO/156,JO,156,T/JO/539,false,1/4/1644,2044-04-01T00:00:00,Tolbooth,Queensferry,false,Released,jhm,2001-07-26T15:06:30,jhm,2001-07-26T15:23:45
IM/JO/157,JO,157,T/JO/573,false,,,,Peebles,false,,jhm,2001-07-30T11:38:56,jhm,2002-10-11T16:53:29
IM/JO/158,JO,158,T/JO/574,false,17/5/1649,2049-05-17T00:00:00,,Peebles,false,,jhm,2001-07-31T12:07:08,jhm,2001-07-31T12:07:28
IM/JO/159,JO,159,T/JO/575,false,6/1649,2049-06-01T00:00:00,,Peebles,false,,jhm,2001-07-31T12:40:35,jhm,2001-08-02T14:04:28
IM/JO/16,JO,16,T/JO/87,false,4/1630,2030-04-01T00:00:00,Tolbooth,Haddington,false,,jhm,2001-06-12T10:03:53,jhm,2001-06-12T10:04:08
IM/JO/160,JO,160,T/JO/577,false,10/1649,2049-10-01T00:00:00,,Peebles,false,,jhm,2001-07-31T14:42:48,jhm,2001-07-31T14:42:56
IM/JO/161,JO,161,T/JO/579,false,10/1649,2049-10-01T00:00:00,,Peebles,false,,jhm,2001-07-31T15:04:23,jhm,2001-07-31T15:04:33
IM/JO/162,JO,162,T/JO/580,false,10/1649,2049-10-01T00:00:00,,Peebles,false,,jhm,2001-07-31T15:18:09,jhm,2001-07-31T15:18:15
IM/JO/163,JO,163,T/JO/582,false,10/1649,2049-10-01T00:00:00,,Peebles,false,,jhm,2001-07-31T15:30:34,jhm,2001-07-31T15:30:41
IM/JO/164,JO,164,T/JO/584,false,10/1649,2049-10-01T00:00:00,,Peebles,false,,jhm,2001-07-31T15:49:28,jhm,2001-07-31T15:49:35
IM/JO/165,JO,165,T/JO/590,false,11/1649,2049-11-01T00:00:00,,Peebles,false,,jhm,2001-08-01T11:02:28,jhm,2001-08-01T11:02:51
IM/JO/166,JO,166,T/JO/591,false,,,,Peebles,false,,jhm,2001-08-01T11:11:43,jhm,2002-10-11T16:53:34
IM/JO/167,JO,167,T/JO/592,false,6/1704,2004-06-01T00:00:00,,Pittenweem,false,Released,jhm,2001-08-02T15:44:11,jhm,2002-08-02T15:38:10
IM/JO/168,JO,168,T/JO/595,false,14/5/1688,1988-05-14T00:00:00,Tolbooth,Dunbar,false,,jhm,2001-08-15T12:44:35,jhm,2001-08-16T09:19:30
IM/JO/169,JO,169,T/JO/597,false,3/1682,1982-03-01T00:00:00,Tolbooth,Ayr,false,Moved,jhm,2001-08-16T11:20:22,jhm,2001-08-16T11:21:00
IM/JO/17,JO,17,T/JO/88,false,4/1630,2030-04-01T00:00:00,Tolbooth,Haddington,false,,jhm,2001-06-12T10:19:35,jhm,2001-06-12T10:19:50
IM/JO/170,JO,170,T/JO/598,false,9/7/1678,1978-07-09T00:00:00,Tolbooth,Prestonpans,false,Released,jhm,2001-08-16T11:47:23,jhm,2001-08-16T11:49:49
IM/JO/171,JO,171,T/JO/599,false,10/1678,1978-10-01T00:00:00,,Loanhead of Lasswade,false,,jhm,2001-08-16T12:03:40,jhm,2001-08-16T12:27:36
IM/JO/172,JO,172,T/JO/600,false,10/1678,1978-10-01T00:00:00,,Loanhead of Lasswade,false,,jhm,2001-08-16T12:15:53,jhm,2001-08-16T12:16:37
IM/JO/173,JO,173,T/JO/601,false,10/1678,1978-10-01T00:00:00,,Loanhead of Lasswade,false,,jhm,2001-08-16T12:19:52,jhm,2001-08-16T12:20:06
IM/JO/174,JO,174,T/JO/602,false,10/1678,1978-10-01T00:00:00,,Loanhead of Lasswade,false,,jhm,2001-08-16T12:24:18,jhm,2001-08-16T12:24:30
IM/JO/175,JO,175,T/JO/603,false,11/1679,1979-11-01T00:00:00,Tolbooth,Bo'ness,false,,jhm,2001-08-16T13:55:57,jhm,2001-08-16T13:56:23
IM/JO/176,JO,176,T/JO/604,false,11/1679,1979-11-01T00:00:00,Tolbooth,Bo'ness,false,,jhm,2001-08-16T14:12:20,jhm,2001-08-16T14:12:29
IM/JO/177,JO,177,T/JO/605,false,11/1679,1979-11-01T00:00:00,Tolbooth,Bo'ness,false,,jhm,2001-08-16T14:16:58,jhm,2001-08-16T14:17:09
IM/JO/178,JO,178,T/JO/606,false,11/1679,1979-11-01T00:00:00,Tolbooth,Bo'ness,false,,jhm,2001-08-16T14:22:07,jhm,2001-08-16T14:22:16
IM/JO/179,JO,179,T/JO/607,false,11/1679,1979-11-01T00:00:00,Tolbooth,Bo'ness,false,,jhm,2001-08-16T14:27:19,jhm,2001-08-16T14:27:29
IM/JO/18,JO,18,T/JO/91,false,,,Castle,Dirleton,false,,jhm,2001-06-13T10:26:04,LEM,2002-10-28T12:54:48
IM/JO/180,JO,180,T/JO/608,false,11/1679,1979-11-01T00:00:00,Tolbooth,Bo'ness,false,,jhm,2001-08-16T14:31:32,jhm,2001-08-16T14:31:40
IM/JO/181,JO,181,T/JO/613,false,3/1679,1979-03-01T00:00:00,Tolbooth,Canongate,false,Released,jhm,2001-08-16T16:01:35,jhm,2001-08-16T16:01:51
IM/JO/182,JO,182,T/JO/615,false,1/1677,1977-01-01T00:00:00,Tolbooth,Paisley,false,Moved,jhm,2001-08-17T09:31:14,jhm,2001-08-17T10:19:07
IM/JO/183,JO,183,T/JO/616,false,1/1677,1977-01-01T00:00:00,Tolbooth,Paisley,false,,jhm,2001-08-17T09:41:39,LEM,2002-01-16T10:58:29
IM/JO/184,JO,184,T/JO/614,false,1/1677,1977-01-01T00:00:00,,,false,,jhm,2001-08-17T09:44:27,jhm,2001-08-17T09:57:44
IM/JO/185,JO,185,T/JO/617,false,1/1677,1977-01-01T00:00:00,Tolbooth,Paisley,false,,jhm,2001-08-17T09:52:07,LEM,2002-01-16T12:09:26
IM/JO/186,JO,186,T/JO/618,false,1/1677,1977-01-01T00:00:00,Tolbooth,Paisley,false,,jhm,2001-08-17T10:00:34,LEM,2002-01-16T12:26:30
IM/JO/187,JO,187,T/JO/619,false,2/1677,1977-02-01T00:00:00,,,false,,jhm,2001-08-17T10:11:48,jhm,2001-08-17T10:11:52
IM/JO/188,JO,188,T/JO/615,false,4/1677,1977-04-01T00:00:00,Tolbooth,Glasgow,false,,jhm,2001-08-17T10:18:39,jhm,2001-08-17T10:18:57
IM/JO/189,JO,189,T/JO/620,false,,,Tolbooth,Haddington,false,,jhm,2001-08-17T10:33:55,jhm,2002-10-11T16:54:07
IM/JO/19,JO,19,T/JO/92,false,6/1649,2049-06-01T00:00:00,,Dirleton,false,,jhm,2001-06-13T10:48:49,jhm,2002-10-11T16:41:10
IM/JO/190,JO,190,T/JO/621,false,6/1677,1977-06-01T00:00:00,Tolbooth,Dumbarton,false,,jhm,2001-08-17T11:32:07,jhm,2001-08-17T11:32:21
IM/JO/191,JO,191,T/JO/622,false,6/1677,1977-06-01T00:00:00,Tolbooth,Dumbarton,false,,jhm,2001-08-17T11:36:56,jhm,2001-08-17T11:37:07
IM/JO/192,JO,192,T/JO/623,false,6/1677,1977-06-01T00:00:00,Tolbooth,Dumbarton,false,,jhm,2001-08-17T11:40:15,jhm,2001-08-17T11:40:26
IM/JO/193,JO,193,T/JO/624,false,6/1677,1977-06-01T00:00:00,Tolbooth,Dumbarton,false,,jhm,2001-08-17T11:43:32,jhm,2001-08-17T11:43:44
IM/JO/194,JO,194,T/JO/625,false,6/1677,1977-06-01T00:00:00,Tolbooth,Dumbarton,false,,jhm,2001-08-17T11:46:24,jhm,2001-08-17T11:46:33
IM/JO/195,JO,195,T/JO/626,false,4/1677,1977-04-01T00:00:00,Tolbooth,Stirling,false,,jhm,2001-08-17T12:02:05,jhm,2001-08-17T12:02:17
IM/JO/196,JO,196,T/JO/627,false,4/1677,1977-04-01T00:00:00,Tolbooth,Stirling,false,,jhm,2001-08-17T12:27:40,jhm,2001-08-17T12:27:49
IM/JO/197,JO,197,T/JO/628,false,4/1677,1977-04-01T00:00:00,Tolbooth,Stirling,false,,jhm,2001-08-17T12:36:48,jhm,2001-08-17T12:37:01
IM/JO/198,JO,198,T/JO/629,false,4/1677,1977-04-01T00:00:00,Tolbooth,Stirling,false,,jhm,2001-08-17T12:43:54,jhm,2001-08-17T12:44:05
IM/JO/199,JO,199,T/JO/630,false,5/1677,1977-05-01T00:00:00,Tolbooth,Haddington,false,,jhm,2001-08-17T12:54:15,jhm,2001-08-17T12:54:32
IM/JO/20,JO,20,T/JO/93,false,,,,Dirleton,false,,jhm,2001-06-13T12:01:16,LEM,2002-10-28T12:54:28
